Nombre,Tipo,Lugar,Fecha
VIII Carreira Popular Volta a Oza,Ruta,Ver competiciones relacionadas,08/09/2019
IX Circuíto Correndo x Ourense – Carreira da Universidade,Ruta,Ver competiciones relacionadas,08/09/2019
XXXIII Milla Urbana de O Barco de Valdeorras,Ruta,"Barco de Valdeorras, O",15/09/2019
Trail Camiño Inglés Abegondo 2019,Trail,Abegondo,15/09/2019
XLI Copa de Europa de Clubs Sub20,Pista AL,,21/09/2019
XVII Campionato do Mundo de Atletismo,Pista AL,Doha - Qatar,28/09/2019
IX Circuíto Correndo x Ourense – Carreira de A Ponte,Ruta,Ver competiciones relacionadas,29/09/2019
XIV Campionato de España de Clubs Sub16,Pista AL,,05/10/2019
XIII A Coruña 10,Ruta,"Coruña, A",06/10/2019
III Carreira Solidaria para as Familias Desfavorecidas de Cambre,Ruta,Cambre,13/10/2019
VII Carreira Popular Ventorrillo,Ruta,Ver competiciones relacionadas,20/10/2019
LXXXII Campionato de España de Maratón Absoluto,Ruta,Cidade Real,20/10/2019
IX Circuíto Correndo x Ourense – Carreira de A Carballeira,Ruta,Ver competiciones relacionadas,20/10/2019
IX Carreira Popular Novo Mesoiro,Ruta,Ver competiciones relacionadas,03/11/2019
IX Carreira Popular Os Rosales,Ruta,Ver competiciones relacionadas,24/11/2019
XXX Campionato de Galicia de Inverno de Marcha,Marcha,,24/11/2019
IV Circuíto de Pista Concello de Vigo – 4ª Xornada Series Municipais,Pista AL,Ver competiciones relacionadas,08/12/2019
IV Circuíto de Pista Concello de Vigo – 5ª Xornada Series Municipais,Pista AL,Ver competiciones relacionadas,14/12/2019
